date,신고건수,Week,정기적_이벤트,비정기적_이벤트,뉴스개수,금리,누적확진자수,확진자수,소비자물가지수,비트코인거래량,네이버_보이스피싱,다음카카오_보이스피싱,구글_보이스피싱,네이버_대출,다음카카오_대출,구글_대출검색,은행영업일,이전7일건수_평균,이전7일_뉴스개수,이전7일_확진자수,이전7일_비트코인거래량,이전7일_네이버_보이스피싱,이전7일_다음카카오_보이스피싱,이전7일_구글_보이스피싱,이전7일_네이버_대출,이전7일_다음카카오_대출,이전7일_구글_대출검색,이전7일_은행영업일수,이전4주_뉴스개수,이전4주_확진자수,이전4주_비트코인거래량,이전4주_네이버_보이스피싱,이전4주_다음카카오_보이스피싱,이전4주_구글_보이스피싱,이전4주_네이버_대출,이전4주_다음카카오_대출,이전4주_구글_대출검색,이전4주건수_평균
2020-01-01,4,1,0,0,,1.25,,,100.09,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2020-01-02,29,1,0,0,1.0,1.25,0.0,0.0,100.09,420280.0,4.18055,7.0,2.25,11.31068,9.0,19.75,1,,,,,,,,,,,,,,,,,,,,,
2020-01-03,31,1,0,0,3.0,1.25,0.0,0.0,100.09,632780.0,10.54166,12.0,2.25,26.11826,28.0,19.75,1,,,,,,,,,,,,,,,,,,,,,
2020-01-04,6,1,0,0,3.0,1.25,0.0,0.0,100.09,936290.0,12.61111,14.0,2.25,22.39576,23.0,19.75,0,,,,,,,,,,,,,,,,,,,,,
2020-01-05,4,1,0,0,4.0,1.25,0.0,0.0,100.09,523910.0,6.76388,11.0,2.25,12.65998,11.0,19.75,0,,,,,,,,,,,,,,,,,,,,,
2020-01-06,14,2,0,0,0.0,1.25,0.0,0.0,100.09,628140.0,6.83333,8.0,2.25,13.93552,13.0,19.75,1,,,,,,,,,,,,,,,,,,,,,
2020-01-07,36,2,0,0,4.0,1.25,0.0,0.0,100.09,786750.0,13.86111,14.0,2.25,29.48934,34.0,19.75,1,,,,,,,,,,,,,,,,,,,,,
2020-01-08,34,2,0,0,7.0,1.25,0.0,0.0,100.09,1010.0,14.51388,16.0,2.25,27.74089,29.0,19.75,1,16.857142857142858,3.142857142857143,0.0,561308.5714285715,9.900788571428572,11.714285714285714,2.25,20.52149,21.0,19.75,4.0,,,,,,,,,,
2020-01-09,38,2,0,0,15.0,1.25,0.0,0.0,100.09,1190.0,13.19444,18.0,2.25,25.10737,28.0,19.75,1,21.714285714285715,5.142857142857143,0.0,501438.5714285714,11.188487142857143,13.285714285714286,2.25,22.492445714285715,23.714285714285715,19.75,5.0,,,,,,,,,,
2020-01-10,25,2,0,0,9.0,1.25,0.0,0.0,100.09,786500.0,12.875,16.0,2.25,24.82103,23.0,19.75,1,23.0,6.0,0.0,523398.5714285714,11.521821428571428,13.857142857142858,2.25,22.307127142857144,23.0,19.75,5.0,,,,,,,,,,
2020-01-11,7,2,0,0,3.0,1.25,0.0,0.0,100.09,1050.0,13.16666,14.0,2.25,23.45004,21.0,19.75,0,22.142857142857142,6.0,0.0,389792.8571428572,11.601185714285716,13.857142857142858,2.25,22.457738571428568,22.714285714285715,19.75,5.0,,,,,,,,,,
2020-01-12,4,2,0,0,1.0,1.25,0.0,0.0,100.09,776750.0,6.77777,8.0,2.25,11.9311,10.0,19.75,0,22.285714285714285,5.571428571428571,0.0,425912.8571428572,11.60317,13.428571428571429,2.25,22.353612857142856,22.571428571428573,19.75,5.0,,,,,,,,,,
2020-01-13,23,3,0,0,2.0,1.25,0.0,0.0,100.09,595220.0,5.73611,9.0,5.0,13.34548,11.0,19.0,1,22.428571428571427,5.857142857142857,0.0,421210.0,11.446424285714285,13.571428571428571,2.642857142857143,22.26932142857143,22.285714285714285,19.642857142857142,5.0,,,,,,,,,,
2020-01-14,26,3,0,0,11.0,1.25,0.0,0.0,100.09,610660.0,14.44444,9.0,5.0,30.61304,34.0,19.0,1,23.714285714285715,6.857142857142857,0.0,396054.28571428574,11.529757142857145,12.857142857142858,3.0357142857142856,22.42985,22.285714285714285,19.535714285714285,5.0,,,,,,,,,,
2020-01-15,45,3,0,0,28.0,1.25,0.0,0.0,100.09,1480.0,13.58333,15.0,5.0,28.30491,29.0,19.0,1,22.285714285714285,9.857142857142858,0.0,396121.4285714286,11.396821428571428,12.714285714285714,3.4285714285714284,22.510424285714286,22.285714285714285,19.428571428571427,5.0,,,,,,,,,,
2020-01-16,40,3,0,0,17.0,1.25,0.0,0.0,100.09,1170.0,15.73611,19.0,5.0,26.98164,29.0,19.0,1,23.857142857142858,10.142857142857142,0.0,396118.5714285714,11.759917142857145,12.857142857142858,3.821428571428572,22.778177142857142,22.428571428571427,19.321428571428573,5.0,,,,,,,,,,
